RegulationId,RegistarId,Naslov,Vazenje,Matko_StupanjeNaSnagu,Dario_StupanjeNaSnagu,Matko_DatumPrimjene,Dario_DatumPrimjene
4,9,Zakon o uvođenju Europskog društva - Societas Europea (SE) i Europskog gospodarskog interesnog udruženja (EGIU),Zakon stupa na snagu 1. 7. 2013.,01.07.2013,01.07.2013,,
5,24,Zakon o Nacionalnoj klasifikaciji djelatnosti,Zakon stupa na snagu 31. 12. 1994.,30.12.1994,31.12.1994,,
6,25,Odluka o Nacionalnoj klasifikaciji djelatnosti 2007. - NKD 2007.,"Odluka stupa na snagu 1. 1. 2008.<br />
Prestaje važiti Odluka o Nacionalnoj klasifikaciji djelatnosti – NKD 2002. (Narodne novine, br. 13/03).",01.01.2008,01.01.2008,,
9,34,Odluka o načinu i uvjetima za pristup podacima sudskog registra,Odluka stupa na snagu 26. 11. 2002.,,26.11.2002,,
11,36,Naputak o pomoćnim šifarnicima i ostalim podacima za vođenje sudskoga registra,"Naputak stupa na snagu 7. 3. 1995.<br />
",,07.03.1995,,
12,37,"Naputak o osiguranju, pohranjivanju i zaštiti podataka sudskog registra","Naputak stupa na snagu 25. 4. 1996.<br />
",24.04.1996,25.04.1996,,
13,38,Naputak o uvjetima i načinu ostvarivanja elektroničke komunikacije s registarskim sudom radi upisa društva s ograničenom odgovornošću u sudski registar,"Naputak stupa na snagu 24. 10. 2007.<br />
",23.10.2007,24.10.2007,,
16,60,Kodeks etike u poslovanju,Kodeks stupa na snagu 23. 5. 2005.,,23.05.2005,,
18,62,Odluka o osnutku županijskih regionalnih komora,Odluka stupa na snagu  7. 1. 1994.<br />,,,,
23,68,Odluka o troškovima mirenja u potrošačkim sporovima pred Centrom za mirenje pri Hrvatskoj gospodarskoj komori,"Odluka stupa na snagu 27. 5. 2008.<br />
",26.05.2008,27.05.2008,,
27,73,Odluka o nagradama i naknadi troškova sucima i drugim osobama u postupku pred Sudom časti pri Hrvatskoj gospodarskoj komori,"Odluka stupa na snagu 24. 5. 1993. <br />
Prestaje vrijediti Odluka o naknadi troškova i nagradama sucima i drugim osobama pred Sudom časti pri Hrvatskoj gospodarskoj komori (Narodne novine, br. 39/90 i 27/92). ",23.05.1993,24.05.1993,,
28,74,Odluka o troškovima u potrošačkim sporovima pred Sudom časti pri Hrvatskoj gospodarskoj komori,"Odluka stupa na snagu 27. 5. 2008.
",26.05.2008,27.05.2008,,
29,75,Odluka o naknadama za usluge Hrvatske gospodarske komore u vezi s organizacijom i provedbom poslova javnog komisionara,Odluka stupa na snagu 20. 6. 2006.,19.06.2006,20.06.2006,,
33,80,Odluka o broju područnih obrtničkih komora i njihovom teritorijalnom obuhvatu,Odluka stupa na snagu 21. 12. 1994.,,21.12.1994,,
39,86,Pravilnik o radu Arbitražnog vijeća pri Hrvatskoj obrtničkoj komori,Pravilnik stupa na snagu 2. 3. 1997.,28.02.1997,02.03.1997,,
43,93,Zakon o Hrvatskoj komori inženjera šumarstva i drvne tehnologije,Zakon stupa na snagu 2. 3. 2006. ,,02.03.2006,,
44,94,Statut Hrvatske komore inženjera šumarstva i drvne tehnologije,Statut stupa na snagu 26. 12. 2006.,25.12.2006,26.12.2006,,
45,95,Zakon o Hrvatskoj komori inženjera tehnologije prometa i transporta,Zakon stupa na snagu 7. 8. 2007.,06.08.2007,07.08.2007,,
56,107,Odluka o osnivanju Agencije za zaštitu tržišnog natjecanja,Odluka stupa na snagu 20. 9. 1995.,19.09.1995,20.09.1995,,
57,108,Pravilnik o službenoj iskaznici ovlaštene osobe u Agenciji za zaštitu tržišnog natjecanja,Pravilnik stupa na snagu 3. 12. 1998.,02.12.1998,03.12.1998,,
66,128,Pravilnik o izobrazbi i stručnom ispitu za zaštitare i čuvare,"Pravilnik stupa na snagu 26. 7. 2004. <br/>
Prestaje važiti Pravilnik o izobrazbi i stručnom ispitu za zaštitare i čuvare (Narodne novine, br. 202/03).
",,26.07.2004,,
67,129,Rješenje o iznosu novčane naknade za provedbu stručnog ispita za zaštitara i čuvara,"Rješenje stupa na snagu 8. 11. 2004. <br/>
Prestaje važiti Rješenje o iznosu novčane naknade za provedbu stručnog ispita za zaštitara i čuvara (Narodne novine, br. 103/04 i 129/04).
",07.11.2004,08.11.2004,,
68,130,Pravilnik o uvjetima i načinu polaganja te programu stručnog ispita za zaštitara - tehničara,"Pravilnik stupa na snagu 27. 11. 2004. <br/>
Prestaje važiti Pravilnik o načinu i programu polaganja ispita za obavljanje poslova tehničke zaštite (Narodne novine, br. 28/99).
",,27.11.2004,,
69,131,Rješenje o iznosu novčane naknade za provedbu stručnog ispita za zaštitara - tehničara,Rješenje stupa na snagu 14. 3. 2005.,13.03.2005,14.03.2005,,
70,132,Pravilnik o uvjetima i načinu provedbe tehničke zaštite,"Pravilnik stupa na snagu 27. 12. 2003. <br/>
Prestaje važiti Pravilnik o uvjetima i načinu provedbe tehničke zaštite (Narodne novine, br. 28/99).
",26.12.2003,27.12.2003,,
71,133,Pravilnik o uvjetima i načinu provedbe tjelesne zaštite,"Pravilnik stupa na snagu 14. 4. 2005. <br/>
Prestaje važiti: <br/>
– Pravilnik o obavljanju poslova tjelesne zaštite (Narodne novine, br. 119/97) i <br/>
– Pravilnik o uvjetima obavljanja poslova pratnje i osiguranja novca, vrijednosnih papira i dragocjenih kovina i metala te načinu izdavanja i oduzimanja posebnog odobrenja za obavljanje tih poslova (Narodne novine, br. 80/99).
",13.04.2005,14.04.2005,,
76,138,Pravilnik o načinu utvrđivanja opće i posebne zdravstvene sposobnosti čuvara i zaštitara u privatnoj zaštiti,"Pravilnik stupa na snagu 1. 4. 2004. <br/>
Prestaje važiti Pravilnik o utvrđivanju opće zdravstvene i posebne sposobnosti zašti¬tara i privatnog detektiva (Narodne novine, br. 5/97).
",31.03.2004,01.04.2004,,
77,139,Rješenje o određivanju zdravstvenih ustanova i specijalista medicine rada u privatnoj praksi za utvrđivanje opće zdravstvene sposobnosti čuvara i opće i posebne zdravstvene sposobnosti zaštitara,Rješenje stupa na snagu 18. 10. 2003.,17.10.2003,18.10.2003,,
86,154,Pravilnik o vezanim i povlaštenim obrtima i načinu izdavanja povlastica,"Pravilnik stupa na snagu 19. 4. 2008.<br/>
Prestaje važiti Pravilnik o vezanim i povlaštenim obrtima i načinu izdavanja povlastica (Narodne novine, br. 87/01 i 47/05).",18.04.2008,19.04.2008,,
90,158,"Pravilnik o tradicijskim, odnosno umjetničkim obrtima",Pravilnik stupa na snagu 8. 11. 2007.,07.11.2007,08.11.2007,,
94,163,Pravilnik o obliku i načinu vođenja evidencije o pravnim osobama i radnicima koji obavljaju obrt,Pravilnik stupa na snagu 11. 10. 2007.,10.10.2007,11.10.2007,,
100,170,Pravilnik o postupku i načinu polaganja majstorskog ispita te ispita o stručnoj osposobljenosti,"Pravilnik stupa na snagu 24. 7. 2002.<br/>
Prestaje važiti Pravilnik o polaganju majstorskog ispita i ispita o stručnoj osposobljenosti (Narodne novine, br. 26/98, 142/99 i 67/99).",,24.07.2002,,
101,172,Pravilnik o obliku i sadržaju diplome o majstorskom zvanju,Pravinik stupa na snagu 16. 3. 2002.,,16.03.2002,,
106,177,"Rješenje o cijeni polaganja ispita o stručnoj osposobljenosti, pomoćničkog i majstorskog ispita",Rješenje stupa na snagu 4. 4. 2002.,03.04.2002,04.04.2002,,
172,243,Program trgovačkog (majstorskog) ispita za zanimanje trgovac,"Program stupa na snagu 21. 12. 1995.<br />
",,21.12.1995,,
196,253,Zakon o uvođenju Europske zadruge - Societas Cooperativa Europaea (SCE),Zakon stupa na snagu 1. 7. 2013.,,01.07.2013,,
199,256,"Uredba o djelokrugu, sadržaju i nositelju poslova certificiranja elektroničkih potpisa za tijela državne uprave",Uredba stupa na snagu 20. 10. 2004.,,20.10.2004,,
204,261,Zakon o elektroničkoj trgovini,Zakon stupa na snagu 8. 11. 2003.,07.11.2003,08.11.2003,,
207,269,Odluke o osnivanju ispostava Hrvatskog zavoda za zapošljavanje,Odluka stupa na snagu 25. 6. 1998.,,25.06.1998,,
209,280,Zakon o pribavljanju i korištenju inozemnih sredstava za povećanje zaposlenosti i zapošljavanja povratnika s rada iz inozemstva,Zakon stupa na snagu  6. 5. 1978.,15.07.1991,,,
213,285,"Pravilnik o uvjetima u pogledu prostora, opreme te stručnih radnika ustanove za profesionalnu rehabilitaciju",Pravilnik stupa na snagu 12. 1. 2006.,,12.01.2006,,
214,286,"Pravilnik o uvjetima u pogledu prostora, opreme i stručnih radnika radnog centra",Pravilnik stupa na snagu 12. 1. 2006.,,12.01.2006,,
227,304,Uredba o klasifikaciji radnih mjesta u državnoj službi,Uredba stupa na snagu 2. 8. 2007.,01.08.2007,02.08.2007,,
228,305,Uredba o upućivanju državnog službenika na rad izvan državne službe,Uredba stupa na snagu 1. 4. 2006.,31.03.2006,01.04.2006,,
229,306,Uredba o načinima i uvjetima napredovanja državnih službenika,Uredba stupa na snagu 2. 8. 2007.,01.08.2007,02.08.2007,,
233,310,Odluka o prijamu službenika i namještenika u tijela državne uprave i javne službe koje se financiraju iz Državnog proračuna,"Odluka stupa na snagu 17. 2. 2000. <br/>
Prestaje važiti Odluka o zabrani prijama službenika i namještenika u tijela državne uprave i javne službe koje se financiraju iz državnog proračuna (Narodne novine, br. 66/98).
",,17.02.2000,,
234,311,Pravilnik o jedinstvenim standardima i mjerilima za određivanje naziva i opisa radnih mjesta u državnoj službi,Pravilnik stupa na snagu 20. 11. 2007.,19.11.2007,20.11.2007,,
236,313,Pravilnik o lakim povredama službene dužnosti (službenika Državnog inspektorata),"Pravilnik stupa na snagu 14. 10. 2006. <br/>
Prestaje važiti Pravilnik o lakim povredama službene dužnosti (Narodne novine,  br. 144/02).
",13.10.2006,14.10.2006,,
237,314,Pravilnik o lakim povredama službene dužnosti (službenika Državnog zavoda za intelektualno vlasništvo),Pravilnik stupa na snagu 28. 8. 2007.,27.08.2007,28.08.2007,,
239,316,Zakon o službenicima i namještenicima u lokalnoj i područnoj (regionalnoj) samoupravi,"Zakon stupa na snagu 31. 7. 2008.  <br/>
31. 7. 2008. u odnosu na službenike i namještenike u upravnim tijelima lokalnih jedinica prestaje važiti Zakon o državnim službenicima i namještenicima (Narodne novine, br. 27/01), osim odredaba članka 62. – 78. i članka 108. – 112. istoga Zakona, koje i dalje ostaju na snazi. <br/>

",30.07.2008,31.07.2008,,
240,318,"Pravilnik o obliku, sadržaju i načinu vođenja osobnog očevidnika državnih službenika i namještenika",Pravilnik stupa na snagu 19. 2. 1998.,18.02.1998,19.02.1998,,
261,341,Kolektivni ugovor za radnike HP-Hrvatske pošte d.d. (do 31. 12. 2010.),"Ugovor stupa na snagu danom potpisivanja, a primjenjuje se od 1. 1. 2007. 
",,,,01.01.2007
263,343,Odluka o proširenju primjene Kolektivnog ugovora za putničke agencije (na sve poslodavce i radnike u djelatnosti putničkih agencija i turoperatora u Republici Hrvatskoj),Odluka stupa na snagu 17. 8. 2002.,16.08.2002,17.08.2002,,
266,346,Kolektivni ugovor za vodno gospodarstvo (do 31. 12. 2013.),Ugovor stupa na snagu 5. 6. 2003. i ostaje na snazi 4 godine.,,05.06.2003,,
269,349,Kolektivni ugovor Croatia osiguranja d.d. (do 31. 5. 2010.),Kolektivni ugovor primjenjuje se od 1. 6. 2006. ,,,,01.06.2006
276,358,Kolektivni ugovor za djelatnosti drvne i papirne industrije (na neodređeno vrijeme)," Kolektivni ugovor sklapa se na neodređeno vrijeme, stupa na snagu danom potpisivanja, a primjenjuje se od 1. 6. 2008. ",,,,01.06.2008
277,360,Kolektivni ugovor za zaposlene u Narodnim novinama d.d. Zagreb (Ugovor je važio do 31. 12. 2006.),Ugovor stupa na snagu i primjenjuje se 1. 1. 2006. ,,,,
292,386,Pravilnik o mirenju u individualnim radnim sporovima u Ministarstvu unutarnjih poslova,Pravilnik stupa na snagu 6. 3. 2008.,05.03.2008,06.03.2008,,
296,392,Uredba o nazivima radnih mjesta i koeficijentima složenosti poslova u državnoj službi,"Uredba stupa na snagu 25. 4. 2001.<br/>
Prestaju se primjenjivati odredbe Zakona o državnim službenicima i namještenicima i o plaćama nositelja pravosudnih dužnosti (Narodne novine, br. 74/94, 86/94 i 7/95) kojima su uređene plaće službenika i namještenika.

",24.04.2001,25.04.2001,,
297,393,Uredba o poslovima s posebnim uvjetima rada u državnoj službi,Uredba stupa na snagu 21. 6. 2002.,20.06.2002,21.06.2002,,
298,394,Odluka o plaći predsjednika i članova Odbora za državnu službu,Odluka stupa na snagu 18. 1. 2006.,17.01.2006,18.01.2006,,
299,396,"Uredba o mjerilima za naknadu za rad odnosno plaću povjerenika Vlade Republike Hrvatske (u jedinicama lokalne, odnosno područne (regionalne) samouprave)","Uredba stupa na snagu 7. 3. 2002.<br/>
Prestaje važiti Odluka o utvrđivanju visine koeficijenata za izračun plaće, odnosno naknade plaće povjerenika Vlade Republike Hrvatske (Narodne novine, br. 39/00, 49/00 i 132/00).

",06.03.2002,07.03.2002,,
301,399,Zakon o plaćama u javnim službama,"Zakon stupa na snagu 30. 3. 2001.<br/>
Prestaje važiti Zakon o plaćama službenika i namještenika u javnim službama (Narodne novine, br. 74/94).

",,30.03.2001,,
303,401,Zakon o plaćama ovlaštenih državnih revizora,"Zakon stupa na snagu 27. 6. 1998.<br/>
Prestaju važiti odredbe: <br/>
– Zakona o državnim službenicima i namještenicima i o plaćama nositelja pravosudnih dužnosti (Narodne novine, br. 74/94, 86/94 i 7/95), <br/>
– Uredbe o dodacima za poslove s posebnim uvjetima rada (Narodne novine, br. 90/94), <br/>
– Uredbe o položajnim dodacima državnih službenika Državnog ureda za reviziju (Narodne novine, br. 12/95) i <br/>
– Uredbe o položajnim dodacima ovlaštenih državnih revizora u Državnom uredu za reviziju (Narodne novine, br. 61/96) u dijelu koji se odnosi na utvrđivanje plaća.
",26.06.1998,27.06.1998,,
305,412,Uredba o izdacima za službena putovanja u inozemstvo koji se korisnicima državnog proračuna priznaju u materijalne troškove,Uredba stupa na snagu 11. 8. 1992.,10.08.1992,11.08.1992,,
306,413,Odluka o visini dnevnice za službeno putovanje u inozemstvo za korisnike koji se financiraju iz sredstava Državnog proračuna,"Odluka stupa na snagu 18. 1. 2006. <br/>
Prestaje važiti Odluka o visini dnevnice za službeno putovanje u inozemstvo za korisnike koji se financiraju iz sredstava državnog proračuna (Narodne novine, br. 73/93).

 

",17.01.2006,18.01.2006,,
317,427,"Pravilnik o najmanjim zahtjevima sigurnosti i zaštite zdravlja radnika te tehničkom nadgledanju postrojenja, opreme, instalacija i uređaja u prostorima ugroženim eksplozivnom atmosferom",Pravilnik stupa na snagu 18. 4. 2006.,17.04.2006,18.04.2006,,
318,428,Pravilnik o najmanjim zahtjevima za unapređenje sigurnosti i zaštite zdravlja radnika zaposlenih u naftnom rudarstvu,Pravilnik stupa na snagu 26. 4. 2007.,25.04.2007,26.04.2007,,
319,429,Pravilnik o najmanjim zahtjevima za unapređenje sigurnosti i zaštite zdravlja radnika zaposlenih u rudarstvu kod površinskih i podzemnih rudarskih radova,Pravilnik stupa na snagu 26. 4. 2007.,25.04.2007,26.04.2007,,
321,431,Pravilnik o zaštiti radnika od rizika zbog izlaganja azbestu,"Ovaj Pravilnik stupa na snagu 26. 4. 2007.<br/>
Danom stupanja na snagu ovog Pravilnika prestaju vrijediti odredbe Poglavlja V. Proizvodnja i obrada azbestnih proizvoda (članci 115. do 126.) Pravilnika o zaštiti na radu pri preradi nemetalnih sirovina (Narodne novine, br. 10/86).",25.04.2007,26.04.2007,,
325,435,Pravilnik o zaštiti radnika od rizika zbog izloženosti vibracijama na radu,"Pravilnik stupa na snagu 7. 1. 2009., osim odredbi stavka trećeg članka 6. ovoga Pravilnika, koji se u slučaju da se radi o radnoj opremi, koja je stavljena u uporabu prije 2009. godine i koja glede na najnoviji tehnički napredak i/ili usvojene organizacijske mjere ne omogućava poštivanja graničnih vrijednosti izloženosti po ovom Pravilniku, počinje primjenjivati od 2014. godine.",06.01.2009,07.01.2009,,
