RegulationId,RegistarId,Naslov,Vazenje,Dario_StupanjeNaSnagu,Dario_DatumPrimjene,Rezultati,,
4,9,Zakon o uvoé?enju Europskog druè≠tva - Societas Europea (SE) i Europskog gospodarskog interesnog udruè?enja (EGIU),Zakon stupa na snagu 1. 7. 2013.,01.07.2013,,1,,
5,24,Zakon o Nacionalnoj klasifikaciji djelatnosti,Zakon stupa na snagu 31. 12. 1994.,31.12.1994,,1,,
6,25,Odluka o Nacionalnoj klasifikaciji djelatnosti 2007. - NKD 2007.,"Odluka stupa na snagu 1. 1. 2008.<br />
Prestaje vaè?iti Odluka o Nacionalnoj klasifikaciji djelatnosti É?? NKD 2002. (Narodne novine, br. 13/03).",01.01.2008,,1,,
9,34,Odluka o naéçinu i uvjetima za pristup podacima sudskog registra,Odluka stupa na snagu 26. 11. 2002.,26.11.2002,,1,,
11,36,Naputak o pomoé?nim è≠ifarnicima i ostalim podacima za voé?enje sudskoga registra,"Naputak stupa na snagu 7. 3. 1995.<br />
",07.03.1995,,1,,
12,37,"Naputak o osiguranju, pohranjivanju i zaè≠titi podataka sudskog registra","Naputak stupa na snagu 25. 4. 1996.<br />
",25.04.1996,,1,,
13,38,Naputak o uvjetima i naéçinu ostvarivanja elektroniéçke komunikacije s registarskim sudom radi upisa druè≠tva s ograniéçenom odgovornoè≠é?u u sudski registar,"Naputak stupa na snagu 24. 10. 2007.<br />
",24.10.2007,,1,,
16,60,Kodeks etike u poslovanju,Kodeks stupa na snagu 23. 5. 2005.,23.05.2005,,1,,
18,62,Odluka o osnutku è?upanijskih regionalnih komora,Odluka stupa na snagu  7. 1. 1994.<br />,,,0,,
23,68,Odluka o troè≠kovima mirenja u potroè≠aéçkim sporovima pred Centrom za mirenje pri Hrvatskoj gospodarskoj komori,"Odluka stupa na snagu 27. 5. 2008.<br />
",27.05.2008,,1,,
27,73,Odluka o nagradama i naknadi troè≠kova sucima i drugim osobama u postupku pred Sudom éçasti pri Hrvatskoj gospodarskoj komori,"Odluka stupa na snagu 24. 5. 1993. <br />
Prestaje vrijediti Odluka o naknadi troè≠kova i nagradama sucima i drugim osobama pred Sudom éçasti pri Hrvatskoj gospodarskoj komori (Narodne novine, br. 39/90 i 27/92). ",24.05.1993,,1,,
28,74,Odluka o troè≠kovima u potroè≠aéçkim sporovima pred Sudom éçasti pri Hrvatskoj gospodarskoj komori,"Odluka stupa na snagu 27. 5. 2008.
",27.05.2008,,1,,
29,75,Odluka o naknadama za usluge Hrvatske gospodarske komore u vezi s organizacijom i provedbom poslova javnog komisionara,Odluka stupa na snagu 20. 6. 2006.,20.06.2006,,1,,
33,80,Odluka o broju podruéçnih obrtniéçkih komora i njihovom teritorijalnom obuhvatu,Odluka stupa na snagu 21. 12. 1994.,21.12.1994,,1,,
39,86,Pravilnik o radu Arbitraè?nog vijeé?a pri Hrvatskoj obrtniéçkoj komori,Pravilnik stupa na snagu 2. 3. 1997.,02.03.1997,,1,,
43,93,Zakon o Hrvatskoj komori inè?enjera è≠umarstva i drvne tehnologije,Zakon stupa na snagu 2. 3. 2006. ,02.03.2006,,1,,
44,94,Statut Hrvatske komore inè?enjera è≠umarstva i drvne tehnologije,Statut stupa na snagu 26. 12. 2006.,26.12.2006,,1,,
45,95,Zakon o Hrvatskoj komori inè?enjera tehnologije prometa i transporta,Zakon stupa na snagu 7. 8. 2007.,07.08.2007,,1,,
56,107,Odluka o osnivanju Agencije za zaè≠titu trè?iè≠nog natjecanja,Odluka stupa na snagu 20. 9. 1995.,20.09.1995,,1,,
57,108,Pravilnik o sluè?benoj iskaznici ovlaè≠tene osobe u Agenciji za zaè≠titu trè?iè≠nog natjecanja,Pravilnik stupa na snagu 3. 12. 1998.,03.12.1998,,1,,
66,128,Pravilnik o izobrazbi i struéçnom ispitu za zaè≠titare i éçuvare,"Pravilnik stupa na snagu 26. 7. 2004. <br/>
Prestaje vaè?iti Pravilnik o izobrazbi i struéçnom ispitu za zaè≠titare i éçuvare (Narodne novine, br. 202/03).
",26.07.2004,,1,,
67,129,Rjeè≠enje o iznosu novéçane naknade za provedbu struéçnog ispita za zaè≠titara i éçuvara,"Rjeè≠enje stupa na snagu 8. 11. 2004. <br/>
Prestaje vaè?iti Rjeè≠enje o iznosu novéçane naknade za provedbu struéçnog ispita za zaè≠titara i éçuvara (Narodne novine, br. 103/04 i 129/04).
",08.11.2004,,1,,
68,130,Pravilnik o uvjetima i naéçinu polaganja te programu struéçnog ispita za zaè≠titara - tehniéçara,"Pravilnik stupa na snagu 27. 11. 2004. <br/>
Prestaje vaè?iti Pravilnik o naéçinu i programu polaganja ispita za obavljanje poslova tehniéçke zaè≠tite (Narodne novine, br. 28/99).
",27.11.2004,,1,,
69,131,Rjeè≠enje o iznosu novéçane naknade za provedbu struéçnog ispita za zaè≠titara - tehniéçara,Rjeè≠enje stupa na snagu 14. 3. 2005.,14.03.2005,,1,,
70,132,Pravilnik o uvjetima i naéçinu provedbe tehniéçke zaè≠tite,"Pravilnik stupa na snagu 27. 12. 2003. <br/>
Prestaje vaè?iti Pravilnik o uvjetima i naéçinu provedbe tehniéçke zaè≠tite (Narodne novine, br. 28/99).
",27.12.2003,,1,,
71,133,Pravilnik o uvjetima i naéçinu provedbe tjelesne zaè≠tite,"Pravilnik stupa na snagu 14. 4. 2005. <br/>
Prestaje vaè?iti: <br/>
É?? Pravilnik o obavljanju poslova tjelesne zaè≠tite (Narodne novine, br. 119/97) i <br/>
É?? Pravilnik o uvjetima obavljanja poslova pratnje i osiguranja novca, vrijednosnih papira i dragocjenih kovina i metala te naéçinu izdavanja i oduzimanja posebnog odobrenja za obavljanje tih poslova (Narodne novine, br. 80/99).
",14.04.2005,,1,,
76,138,Pravilnik o naéçinu utvré?ivanja opé?e i posebne zdravstvene sposobnosti éçuvara i zaè≠titara u privatnoj zaè≠titi,"Pravilnik stupa na snagu 1. 4. 2004. <br/>
Prestaje vaè?iti Pravilnik o utvré?ivanju opé?e zdravstvene i posebne sposobnosti zaè≠ti?™tara i privatnog detektiva (Narodne novine, br. 5/97).
",01.04.2004,,1,,
77,139,Rjeè≠enje o odreé?ivanju zdravstvenih ustanova i specijalista medicine rada u privatnoj praksi za utvré?ivanje opé?e zdravstvene sposobnosti éçuvara i opé?e i posebne zdravstvene sposobnosti zaè≠titara,Rjeè≠enje stupa na snagu 18. 10. 2003.,18.10.2003,,1,,
86,154,Pravilnik o vezanim i povlaè≠tenim obrtima i naéçinu izdavanja povlastica,"Pravilnik stupa na snagu 19. 4. 2008.<br/>
Prestaje vaè?iti Pravilnik o vezanim i povlaè≠tenim obrtima i naéçinu izdavanja povlastica (Narodne novine, br. 87/01 i 47/05).",19.04.2008,,1,,
90,158,"Pravilnik o tradicijskim, odnosno umjetniéçkim obrtima",Pravilnik stupa na snagu 8. 11. 2007.,08.11.2007,,1,,
94,163,Pravilnik o obliku i naéçinu voé?enja evidencije o pravnim osobama i radnicima koji obavljaju obrt,Pravilnik stupa na snagu 11. 10. 2007.,11.10.2007,,1,,
100,170,Pravilnik o postupku i naéçinu polaganja majstorskog ispita te ispita o struéçnoj osposobljenosti,"Pravilnik stupa na snagu 24. 7. 2002.<br/>
Prestaje vaè?iti Pravilnik o polaganju majstorskog ispita i ispita o struéçnoj osposobljenosti (Narodne novine, br. 26/98, 142/99 i 67/99).",24.07.2002,,1,,
101,172,Pravilnik o obliku i sadrè?aju diplome o majstorskom zvanju,Pravinik stupa na snagu 16. 3. 2002.,16.03.2002,,1,,
106,177,"Rjeè≠enje o cijeni polaganja ispita o struéçnoj osposobljenosti, pomoé?niéçkog i majstorskog ispita",Rjeè≠enje stupa na snagu 4. 4. 2002.,04.04.2002,,1,,
