RegulationId,RegistarId,Naslov,Vazenje,Dario_StupanjeNaSnagu,Dario_DatumPrimjene,Rezultati
13123,16231,Pravilnik o odrÅ¾avanju cesta,"Pravilnik stupa na snagu 2. 8. 2014.<br/>
Prestaje vaÅ¾iti Pravilnik o odrÅ¾avanju i zaÅ¡titi javnih cesta (Narodne novine, br. 25/98 i 162/98).",02.08.2014,,1
13124,16232,Naredba o razvrstavanju luka otvorenih za javni promet na podruÄju Splitsko-dalmatinske Å¾upanije,"Naredba stupa na snagu 25. 7. 2014.<br/>
Prestaje vaÅ¾iti Naredba o razvrstaju luka otvorenih za javni promet na podruÄju Å½upanije splitsko-dalmatinske (Narodne novine, br. 102/96, 37/98, 3/02 i 112/03).",25.07.2014,,1
13127,16235,Odluka o izdavanju Globalne obveznice Republike Hrvatske za naknadu imovine oduzete za vrijeme jugoslavenske komunistiÄke vladavine,Odluka stupa na snagu 21. 7. 2014.,21.07.2014,,1
13130,16238,Zakon o Å¾ivotnom partnerstvu osoba istog spola,"Zakon stupa na snagu 5. 8. 2014.<br/>
Prestaje vaÅ¾iti Zakon o istospolnim zajednicama (Narodne novine, br. 116/03)",05.08.2014,,1
13131,16239,Zakon o privremenom uzdrÅ¾avanju,Zakon stupa na snagu 1. 9. 2014.,01.09.2014,,1
13132,16240,Zakon o uspostavi institucionalnog okvira za provedbu europskih strukturnih i investicijskih fondova u Republici Hrvatskoj u financijskom razdoblju 2014. - 2020.,Zakon stupa na snagu 5. 8. 2014.,05.08.2014,,1
13134,16242,Zakon o drÅ¾avnoj informacijskoj infrastrukturi,Zakon stupa na snagu 5. 8. 2014.,05.08.2014,,1
13137,16245,Pravilnik o dodjeli novÄanih sredstava za odrÅ¾avanje eko sustava Å¡aranskih ribnjaka u 2014. godini,Pravilnik stupa na snagu 5. 8. 2014.,05.08.2014,,1
13141,16249,Zakon o europskim radniÄkim vijeÄ‡ima,Zakon stupa na snagu 7. 8. 2014.,07.08.2014,,1
13142,16250,Zakon o reprezentativnosti udruga poslodavaca i sindikata,"Zakon stupa na snagu 7. 8. 2014.<br/>
Prestaje vaÅ¾iti Zakon o kriterijima za sudjelovanje u tripartitnim tijelima i reprezentativnost za kolektivno pregovaranje (Narodne novine, br. 82/12 i 88/12).",07.08.2014,,1
13143,16251,Zakon o sudjelovanju radnika u odluÄivanju u europskom druÅ¡tvu (SE) i u europskoj zadruzi (SCE),Zakon stupa na snagu 7. 8. 2014.,07.08.2014,,1
13144,16252,Odluka o donoÅ¡enju Strategije pomorskog razvitka i integralne pomorske politike Republike Hrvatske za razdoblje od 2014. do 2020. godine,Odluka stupa na snagu 23. 7. 2014.,23.07.2014,,1
13145,16253,"Pravilnik o sluÅ¾benoj iskaznici glavnih istraÅ¾itelja u Agenciji za istraÅ¾ivanje nesreÄ‡a u zraÄnom, pomorskom i Å¾eljezniÄkom prometu",Pravilnik stupa na snagu 7. 8. 2014.,07.08.2014,,1
13147,16255,Zakon o faktoringu,Zakon stupa na snagu 8. 8. 2014.,08.08.2014,,1
13148,16256,Odluka o utvrÄ‘ivanju interesa Republike Hrvatske za izgradnju graÄ‘evine javne namjene - Doma za starije i nemoÄ‡ne u k.o. Biograd na Moru,Odluka stupa na snagu 8. 8. 2014.,08.08.2014,,1
13150,16258,"Pravilnik o uvjetima, kriterijima i naÄinu dodjele potpore kroz sufinanciranje troÅ¡kova kupnje ribolovnih alata, opreme i pogonskih strojeva za obavljanje gospodarskog ribolova na moru",Pravilnik stupa na snagu 8. 8. 2014.,08.08.2014,,1
